id,verified,email_verified,phone_verified,email,first_name,last_name,referral_code,deactivated,test_user,banned,deleted,created_at,updated_at
f49e230a-236b-47af-870b-70b488a68af3,t,t,f,aubrey.harris40800@student.example.com,Aubrey,Harris,STU199806,f,f,f,f,2025-02-22 20:50:52.586,2025-02-22 20:50:52.586
0f31e52e-15ad-4ef7-8a97-2bb6f7f64389,t,t,f,scarlett.walker38023@student.example.com,Scarlett,Walker,STU736362,f,f,f,f,2024-10-31 20:50:52.586,2024-10-31 20:50:52.586
7b95f4a3-5866-45c3-9b92-51f1c78905a9,t,t,f,liam.king97271@student.example.com,Liam,King,STU625277,f,f,f,f,2025-06-07 20:50:52.586,2025-06-07 20:50:52.586
2ed78b2d-218f-4145-9df1-3d488cf01333,t,t,f,noah.diaz30462@student.example.com,Noah,Diaz,STU450598,f,f,f,f,2025-09-18 20:50:52.586,2025-09-18 20:50:52.586
3409dd17-affa-4de3-9e81-261d5dd96163,t,t,f,henry.richardson51156@student.example.com,Henry,Richardson,STU923275,f,f,f,f,2025-05-13 20:50:52.586,2025-05-13 20:50:52.586
c52d45d4-ee5c-4c0f-ad8d-cd290754ce75,t,t,f,jayden.lewis60922@student.example.com,Jayden,Lewis,STU514182,f,f,f,f,2024-12-01 20:50:52.586,2024-12-01 20:50:52.586
1693a99e-1bc2-416c-a85a-250249503203,t,t,f,zoe.lee84975@student.example.com,Zoe,Lee,STU786656,f,f,f,f,2025-06-22 20:50:52.586,2025-06-22 20:50:52.586
e7a6a388-1b0b-45a9-889a-acb4201a2709,t,t,f,william.hernandez8034@student.example.com,William,Hernandez,STU658712,f,f,f,f,2025-05-29 20:50:52.586,2025-05-29 20:50:52.586
1117e815-5d80-448d-9b78-cbe3b2333347,t,t,f,nora.cox50116@student.example.com,Nora,Cox,STU713587,f,f,f,f,2025-09-06 20:50:52.586,2025-09-06 20:50:52.586
2b0c65d0-fb69-4946-9458-983d7d044eea,t,t,f,evelyn.martinez26521@student.example.com,Evelyn,Martinez,STU156287,f,f,f,f,2025-03-27 20:50:52.586,2025-03-27 20:50:52.586
fa3cf6cc-a5c1-4b46-ba5f-e78b2fdfab3f,t,t,f,ellie.edwards70565@student.example.com,Ellie,Edwards,STU154308,f,f,f,f,2025-08-11 20:50:52.586,2025-08-11 20:50:52.586
